Country,Year,Value
France,2003,650190
France,2004,645700
France,2005,647930
France,2006,633620
France,2007,630200
France,2008,645260
France,2009,633160
France,2010,609990
France,2011,622110
France,2012,614510
France,2013,599010
France,2014,610470
France,2015,610960
France,2016,609820
France,2017,608550
France,2018,606000
France,2019,583500
France,2020,560620
France,2021,543980
France,2022,520270
France,2023,517080
Croatia,2000,37520
Croatia,2001,39290
Croatia,2002,38050
Croatia,2003,37700
Croatia,2004,38990
Croatia,2005,37500
Croatia,2006,36740
Croatia,2007,36490
Croatia,2008,39100
Croatia,2009,30590
Croatia,2010,31350
Croatia,2011,31910
Croatia,2012,29650
Croatia,2013,25220
Croatia,2014,25088
Croatia,2015,26480
Croatia,2016,24170
Croatia,2017,27570
Croatia,2018,25800
Croatia,2019,25900
Croatia,2020,25440
Croatia,2021,25140
Croatia,2022,22550
Croatia,2023,21710
Italy,2000,449740
Italy,2001,449090
Italy,2002,439460
Italy,2003,437050
Italy,2004,430640
Italy,2005,414230
Italy,2006,413300
Italy,2007,419490
Italy,2008,403510
Italy,2009,385290
Italy,2010,373730
Italy,2011,371480
Italy,2012,394640
Italy,2013,370020
Italy,2014,355440
Italy,2015,356500
Italy,2016,374750
Italy,2017,355300
Italy,2018,342310
Italy,2019,336490
Italy,2020,350870
Italy,2021,339800
Italy,2022,296490
Italy,2023,334120
Cyprus,2000,7953
Cyprus,2001,8633
Cyprus,2002,9133
Cyprus,2003,8683
Cyprus,2004,8442
Cyprus,2005,7782
Cyprus,2006,8010
Cyprus,2007,8009
Cyprus,2008,7658
Cyprus,2009,7496
Cyprus,2010,7526
Cyprus,2011,7454
Cyprus,2012,7013
Cyprus,2013,6574
Cyprus,2014,6774
Cyprus,2015,6593
Cyprus,2016,6833
Cyprus,2017,6975
Cyprus,2018,7134
Cyprus,2019,7216
Cyprus,2020,7586
Cyprus,2021,7575
Cyprus,2022,7005
Cyprus,2023,6882
Latvia,2000,10908
Latvia,2001,12048
Latvia,2002,12100
Latvia,2003,12149
Latvia,2004,11708
Latvia,2005,11789
Latvia,2006,11885
Latvia,2007,12295
Latvia,2008,11932
Latvia,2009,12151
Latvia,2010,12351
Latvia,2011,12301
Latvia,2012,12911
Latvia,2013,13351
Latvia,2014,13621
Latvia,2015,13632
Latvia,2016,13720
Latvia,2017,13952
Latvia,2018,13542
Latvia,2019,13682
Latvia,2020,13581
Latvia,2021,13241
Latvia,2022,12609
Latvia,2023,12692
Lithuania,2000,31290
Lithuania,2001,31210
Lithuania,2002,33560
Lithuania,2003,34730
Lithuania,2004,35560
Lithuania,2005,33840
Lithuania,2006,33930
Lithuania,2007,35140
Lithuania,2008,32819
Lithuania,2009,34959
Lithuania,2010,34038
Lithuania,2011,33637
Lithuania,2012,33597
Lithuania,2013,33816
Lithuania,2014,36895
Lithuania,2015,35885
Lithuania,2016,35414
Lithuania,2017,35276
Lithuania,2018,34767
Lithuania,2019,35056
Lithuania,2020,36565
Lithuania,2021,35644
Lithuania,2022,32524
Lithuania,2023,31944
Luxembourg,2000,6000
Luxembourg,2001,5870
Luxembourg,2002,5723
Luxembourg,2003,5526
Luxembourg,2004,5717
Luxembourg,2005,5658
Luxembourg,2006,5608
Luxembourg,2007,5698
Luxembourg,2008,5838
Luxembourg,2009,5790
Luxembourg,2010,5910
Luxembourg,2011,5780
Luxembourg,2012,5580
Luxembourg,2013,5620
Luxembourg,2014,5740
Luxembourg,2015,5740
Luxembourg,2016,5870
Luxembourg,2017,5969
Luxembourg,2018,5949
Luxembourg,2019,5859
Luxembourg,2020,5829
Luxembourg,2021,5812
Luxembourg,2022,5323
Luxembourg,2023,5263
Hungary,2000,86920
Hungary,2001,86381
Hungary,2002,88971
Hungary,2003,88911
Hungary,2004,87591
Hungary,2005,81141
Hungary,2006,81410
Hungary,2007,82810
Hungary,2008,75530
Hungary,2009,70440
Hungary,2010,71156
Hungary,2011,71657
Hungary,2012,71077
Hungary,2013,74166
Hungary,2014,75474
Hungary,2015,80245
Hungary,2016,82027
Hungary,2017,84119
Hungary,2018,83790
Hungary,2019,83260
Hungary,2020,84709
Hungary,2021,85076
Hungary,2022,75036
Hungary,2023,66228
Malta,2000,1885
Malta,2001,1842
Malta,2002,1845
Malta,2003,1737
Malta,2004,1777
Malta,2005,1661
Malta,2006,1673
Malta,2007,1692
Malta,2008,1614
Malta,2009,1594
Malta,2010,1603
Malta,2011,1412
Malta,2012,1430
Malta,2013,1460
Malta,2014,1471
Malta,2015,1433
Malta,2016,1415
Malta,2017,1366
Malta,2018,1418
Malta,2019,1388
Malta,2020,1487
Malta,2021,1478
Malta,2022,1378
Malta,2023,1428
Netherlands,2000,156264
Netherlands,2001,149684
Netherlands,2002,142334
Netherlands,2003,139374
Netherlands,2004,138584
Netherlands,2005,136884
Netherlands,2006,140104
Netherlands,2007,136963
Netherlands,2008,124303
Netherlands,2009,120663
Netherlands,2010,117753
Netherlands,2011,115244
Netherlands,2012,111833
Netherlands,2013,108584
Netherlands,2014,112454
Netherlands,2015,114144
Netherlands,2016,114603
Netherlands,2017,116693
Netherlands,2018,114994
Netherlands,2019,108774
Netherlands,2020,108284
Netherlands,2021,106604
Netherlands,2022,104264
Netherlands,2023,100115
Austria,2000,75050
Austria,2001,74310
Austria,2002,72910
Austria,2003,72450
Austria,2004,71660
Austria,2005,71390
Austria,2006,71670
Austria,2007,72770
Austria,2008,72620
Austria,2009,74060
Austria,2010,73180
Austria,2011,72740
Austria,2012,72870
Austria,2013,72810
Austria,2014,73720
Austria,2015,74310
Austria,2016,75140
Austria,2017,75140
Austria,2018,73560
Austria,2019,71830
Austria,2020,71380
Austria,2021,71290
Austria,2022,69980
Austria,2023,68100
Poland,2000,351870
Poland,2001,338930
Poland,2002,333300
Poland,2003,319530
Poland,2004,312620
Poland,2005,330900
Poland,2006,336560
Poland,2007,344220
Poland,2008,333050
Poland,2009,320810
Poland,2010,311970
Poland,2011,311340
Poland,2012,301860
Poland,2013,309300
Poland,2014,304250
Poland,2015,302880
Poland,2016,304050
Poland,2017,320170
Poland,2018,329940
Poland,2019,315460
Poland,2020,321590
Poland,2021,305350
Poland,2022,279430
Poland,2023,297470
Portugal,2000,59510
Portugal,2001,57220
Portugal,2002,55330
Portugal,2003,52120
Portugal,2004,53210
Portugal,2005,49170
Portugal,2006,48700
Portugal,2007,49070
Portugal,2008,48510
Portugal,2009,47730
Portugal,2010,46680
Portugal,2011,47140
Portugal,2012,46040
Portugal,2013,45010
Portugal,2014,47070
Portugal,2015,48080
Portugal,2016,48840
Portugal,2017,49470
Portugal,2018,50090
Portugal,2019,51220
Portugal,2020,52270
Portugal,2021,52550
Portugal,2022,50460
Portugal,2023,50920
Romania,2000,150927
Romania,2001,147766
Romania,2002,153147
Romania,2003,155556
Romania,2004,162260
Romania,2005,168810
Romania,2006,168800
Romania,2007,171558
Romania,2008,169097
Romania,2009,165009
Romania,2010,149146
Romania,2011,150804
Romania,2012,144995
Romania,2013,148636
Romania,2014,144566
Romania,2015,150636
Romania,2016,147316
Romania,2017,146716
Romania,2018,147315
Romania,2019,145826
Romania,2020,143655
Romania,2021,146185
Romania,2022,147344
Romania,2023,148554
Slovenia,2000,19080
Slovenia,2001,18750
Slovenia,2002,19610
Slovenia,2003,18330
Slovenia,2004,17360
Slovenia,2005,17370
Slovenia,2006,17550
Slovenia,2007,17930
Slovenia,2008,16780
Slovenia,2009,17160
Slovenia,2010,16510
Slovenia,2011,15820
Slovenia,2012,15820
Slovenia,2013,15610
Slovenia,2014,15750
Slovenia,2015,15840
Slovenia,2016,16040
Slovenia,2017,15730
Slovenia,2018,15860
Slovenia,2019,15700
Slovenia,2020,15730
Slovenia,2021,15690
Slovenia,2022,14930
Slovenia,2023,14600
Slovakia,2000,26220
Slovakia,2001,27290
Slovakia,2002,28610
Slovakia,2003,26820
Slovakia,2004,24340
Slovakia,2005,24970
Slovakia,2006,20280
Slovakia,2007,21380
Slovakia,2008,19710
Slovakia,2009,19540
Slovakia,2010,19230
Slovakia,2011,18980
Slovakia,2012,20070
Slovakia,2013,20450
Slovakia,2014,21290
Slovakia,2015,20180
Slovakia,2016,21270
Slovakia,2017,23080
Slovakia,2018,23470
Slovakia,2019,23080
Slovakia,2020,20299
Slovakia,2021,20039
Slovakia,2022,18802
Slovakia,2023,20246
Finland,2000,33389
Finland,2001,33328
Finland,2002,34037
Finland,2003,34777
Finland,2004,34378
Finland,2005,34217
Finland,2006,34367
Finland,2007,33627
Finland,2008,33597
Finland,2009,32477
Finland,2010,33096
Finland,2011,32666
Finland,2012,32346
Finland,2013,32646
Finland,2014,33025
Finland,2015,32945
Finland,2016,31405
Finland,2017,30946
Finland,2018,30366
Finland,2019,29756
Finland,2020,29056
Finland,2021,28166
Finland,2022,25636
Finland,2023,25655
Sweden,2000,55547
Sweden,2001,54947
Sweden,2002,54187
Sweden,2003,53298
Sweden,2004,53329
Sweden,2005,51250
Sweden,2006,50570
Sweden,2007,50450
Sweden,2008,50890
Sweden,2009,47100
Sweden,2010,48720
Sweden,2011,48910
Sweden,2012,47440
Sweden,2013,48850
Sweden,2014,49300
Sweden,2015,49180
Sweden,2016,48200
Sweden,2017,48910
Sweden,2018,48320
Sweden,2019,47560
Sweden,2020,48900
Sweden,2021,47310
Sweden,2022,46700
Sweden,2023,47060
Iceland,2000,4820
Iceland,2001,4896
Iceland,2002,4766
Iceland,2003,4687
Iceland,2004,4687
Iceland,2005,4597
Iceland,2006,4878
Iceland,2007,5017
Iceland,2008,5059
Iceland,2009,4918
Iceland,2010,4838
Iceland,2011,4859
Iceland,2012,4589
Iceland,2013,4500
Iceland,2014,4840
Iceland,2015,4861
Iceland,2016,4879
Iceland,2017,4889
Iceland,2018,4730
Iceland,2019,4712
Iceland,2020,4752
Iceland,2021,4611
Iceland,2022,4552
Iceland,2023,4382
Norway,2000,26600
Norway,2001,26870
Norway,2002,27140
Norway,2003,28260
Norway,2004,28380
Norway,2005,28560
Norway,2006,28660
Norway,2007,28820
Norway,2008,29160
Norway,2009,29560
Norway,2010,28930
Norway,2011,28820
Norway,2012,28940
Norway,2013,29360
Norway,2014,29600
Norway,2015,29670
Norway,2016,29860
Norway,2017,29480
Norway,2018,29330
Norway,2019,28570
Norway,2020,28520
Norway,2021,29066
Norway,2022,28435
Norway,2023,27610
Switzerland,2000,53190
Switzerland,2001,53750
Switzerland,2002,53300
Switzerland,2003,52390
Switzerland,2004,52190
Switzerland,2005,53080
Switzerland,2006,53630
Switzerland,2007,54390
Switzerland,2008,54150
Switzerland,2009,52690
Switzerland,2010,52570
Switzerland,2011,51770
Switzerland,2012,51340
Switzerland,2013,50800
Switzerland,2014,51340
Switzerland,2015,50730
Switzerland,2016,50590
Switzerland,2017,50580
Switzerland,2018,50110
Switzerland,2019,49240
Switzerland,2020,49080
Switzerland,2021,49410
Switzerland,2022,49130
Switzerland,2023,48600
Liechtenstein,2000,63
Liechtenstein,2001,70
Liechtenstein,2002,74
Liechtenstein,2003,74
Liechtenstein,2004,82
Liechtenstein,2005,84
Liechtenstein,2006,83
Liechtenstein,2007,84
Liechtenstein,2008,84
Liechtenstein,2009,85
Liechtenstein,2010,85
Liechtenstein,2011,85
Liechtenstein,2012,84
Liechtenstein,2013,84
Liechtenstein,2014,84
Liechtenstein,2015,84
Liechtenstein,2016,84
Liechtenstein,2017,84
Liechtenstein,2018,84
Liechtenstein,2019,84
Liechtenstein,2020,94
Liechtenstein,2021,95
Liechtenstein,2022,95
Liechtenstein,2023,95
Türkiye,2000,538976
Türkiye,2001,498645
Türkiye,2002,489135
Türkiye,2003,521575
Türkiye,2004,535195
Türkiye,2005,551522
Türkiye,2006,576951
Türkiye,2007,542703
Türkiye,2008,525582
